Date,Open,High,Low,Close,Adj Close,Volume
01-12-2017,7326.700195,7355.399902,7288.700195,7300.5,7300.5,839825500
01-12-2017,7326.700195,7355.399902,1288.700195,9300.5,7300.5,839825500
01-12-2017,3326.700195,7355.399902,1288.700195,9300.5,7300.5,9825500
01-12-2017,7326.700195,7355.399902,7288.700195,7300.5,7300.5,839825500
04-12-2017,7300.5,7369.700195,7300.5,7339,7339,745259400
05-12-2017, 7339,7373.899902,7326.600098,7327.5,7327.5,881831300
06-12-2017,7327.5,7369.700195,7289.399902,7348,7348,672957500
07-12-2017,7348,7371.700195,7314.600098,7320.799805,7320.799805,803178700
08-12-2017,7320.799805,7412.200195,7314.200195,7394,7394,1004623500
11-12-2017,7394,7458.399902,7393.600098,7453.5,7453.5,906705100
12-12-2017,7453.5,7501.5,7448.299805,7500.399902,7500.399902,991599100
13-12-2017,7500.399902,7510.799805,7492.600098,7496.5,7496.5,998682800
14-12-2017,7496.5,7496.700195,7448.100098,7448.100098,7448.100098,948434600
15-12-2017,7448.100098,7490.600098,7433.799805,7490.600098,7490.600098,1182118000
18-12-2017,7490.600098,7544.299805,7490.600098,7537,7537,568259400
19-12-2017,7537,7563.5,7534.100098,7544.100098,7544.100098,675779500
20-12-2017,7544.100098,7550.600098,7511.5,7525.200195,7525.200195,659315600
21-12-2017,7525.200195,7609.700195,7517.899902,7604,7604,621347000
22-12-2017,7604,7614.399902,7585.5,7592.700195,7592.700195,243831300
27-12-2017,7592.700195,7632.700195,7586.399902,7620.700195,7620.700195,458380900
28-12-2017,7620.700195,7633.600098,7609.799805,7622.899902,7622.899902,311875400
29-12-2017,7622.899902,7697.600098,7620,7687.799805,7687.799805,289238900
02-01-2018,7687.799805,7691.299805,7624.100098,7648.100098,7648.100098,576251800
03-01-2018,7648.100098,7689.899902,7640.5,7671.100098,7671.100098,571662800
04-01-2018,7671.100098,7702.5,7671.100098,7695.899902,7695.899902,705864000
05-01-2018,7695.899902,7727.700195,7689.799805,7724.200195,7724.200195,636035700
08-01-2018,7724.200195,7733.399902,7691.799805,7696.5,7696.5,635135400
09-01-2018,7696.5,7733.100098,7696.5,7731,7731,709674500
10-01-2018,7731,7756.100098,7716.200195,7748.5,7748.5,861758600
11-01-2018,7748.5,7769,7734.600098,7762.899902,7762.899902,982791800
12-01-2018,7762.899902,7792.600098,7752.600098,7778.600098,7778.600098,1133867000
15-01-2018,7778.600098,7783.600098,7763.399902,7769.100098,7769.100098,551904700
16-01-2018,7769.100098,7791.799805,7740.600098,7755.899902,7755.899902,824367900
17-01-2018,7755.899902,7755.899902,7711.100098,7725.399902,7725.399902,822508200
18-01-2018,7725.399902,7739.5,7683.700195,7701,7701,765527900
19-01-2018,7701,7731.799805,7694.700195,7730.799805,7730.799805,795594100
22-01-2018,7730.799805,7739.399902,7703.700195,7715.399902,7715.399902,730171300
23-01-2018,7715.399902,7745.200195,7710,7731.799805,7731.799805,742420200
24-01-2018,7731.799805,7732,7643.399902,7643.399902,7643.399902,746643300
25-01-2018,7643.399902,7662.399902,7608.5,7615.799805,7615.799805,713251600
26-01-2018,7615.799805,7667.399902,7615.799805,7665.5,7665.5,713831300
29-01-2018,7665.5,7689.200195,7663.899902,7671.5,7671.5,612924000
30-01-2018,7671.5,7671.700195,7587.100098,7588,7588,798999000
31-01-2018,7588,7599,7521.799805,7533.600098,7533.600098,880751700
01-02-2018,7533.600098,7554.700195,7476.5,7490.399902,7490.399902,872509100
02-02-2018,7490.399902,7494.799805,7432.299805,7443.399902,7443.399902,871574000
05-02-2018,7443.399902,7443.399902,7334.799805,7335,7335,888994600
